date,ad,cci10,aroon10_up,aroon10_down,volume,bbands5_middle_band,macd,stoch_slowd,adx10,close,macd_hist,rsi10,macd_signal,high,bbands5_upper_band,bbands5_lower_band,sma10,open,low,stoch_slowk,obv,ema10
2019-05-29,-3112776945.5740,-140.6654,30.0000,10.0000,22763100,126.2380,0.8624,35.7909,19.1535,124.9400,-0.3069,46.4058,1.1693,125.3900,128.8343,123.6417,126.5355,125.3800,124.0400,34.9524,-2210317100.0000,126.3316
2019-05-30,-3096977729.2474,-93.9501,20.0000,0.0000,16829600,125.8500,0.7159,35.3486,17.2514,125.7300,-0.3627,45.7682,1.0786,125.7600,127.3194,124.3806,126.6356,125.2610,124.7800,34.8923,-2193487500.0000,126.1369
2019-05-31,-3108809319.9810,-150.8923,10.0000,100.0000,26646800,125.3500,0.5107,31.2591,16.7727,123.6800,-0.4543,40.4242,0.9650,124.6150,128.2117,122.4883,126.3836,124.2300,123.3200,23.9325,-2220134300.0000,125.7902
2019-06-03,-3135029342.3691,-214.3030,0.0000,100.0000,37983600,124.0700,0.3138,26.2307,18.8989,119.8400,-0.5210,38.5793,0.8348,124.3700,130.9013,117.2387,125.9381,123.8500,119.0100,19.8672,-2258117900.0000,125.4374
2019-06-04,-3108330084.8348,-109.8414,20.0000,90.0000,29382600,123.4700,-0.0490,23.3117,20.8125,123.1600,-0.7070,28.7273,0.6580,123.2800,129.5572,117.3828,125.4141,121.2800,120.6520,26.1354,-2228735300.0000,124.6815
2019-06-05,-3084605242.6662,16.2223,10.0000,80.0000,24926100,123.6480,-0.0400,34.2376,20.0761,125.8300,-0.5584,49.2790,0.5184,125.8700,130.1982,117.0978,125.1661,124.9500,124.2100,56.7103,-2203809200.0000,124.7303
2019-06-06,-3065862571.7801,99.3837,0.0000,70.0000,21459000,124.0660,0.0864,56.4179,18.2923,127.8200,-0.3456,55.1173,0.4320,127.9700,132.1195,116.0125,125.1481,126.4400,125.6000,86.4081,-2182350200.0000,125.0412
2019-06-07,-3046414445.4643,183.5589,100.0000,60.0000,33885600,125.6100,0.4039,80.0753,19.0181,131.4000,-0.0225,63.6894,0.4264,132.2500,137.4402,113.7798,125.4471,129.1903,128.2600,97.1076,-2148464600.0000,125.7956
2019-06-10,-3057616295.4643,172.1079,100.0000,50.0000,26477100,128.1620,0.9040,92.3813,20.4289,132.6000,0.3821,70.8968,0.5219,134.0800,138.6195,117.7045,125.9961,132.4000,132.0000,93.6281,-2121987500.0000,126.9964
2019-06-11,-3068233849.1755,117.8600,100.0000,40.0000,23913700,129.9500,1.4036,92.6033,21.1286,132.1000,0.7054,73.5833,0.6983,134.2400,137.9165,121.9835,126.6861,133.8800,131.2760,87.0741,-2145901200.0000,128.2480
2019-06-12,-3064164206.3183,74.7385,90.0000,30.0000,17092500,131.0820,1.5812,86.4356,21.3015,131.4900,0.7064,62.7915,0.8749,131.9700,136.1464,126.0176,127.2881,131.4000,130.7100,78.6045,-2162993700.0000,128.8211
2019-06-13,-3057810757.6697,70.9262,80.0000,20.0000,17200800,131.9820,1.7486,79.0849,21.8193,132.3200,0.6990,64.1575,1.0496,132.6700,133.3833,130.5807,127.9600,131.9800,131.5600,71.5761,-2145792900.0000,129.3954
2019-06-14,-3062204013.9488,65.5613,70.0000,10.0000,17821700,132.1920,1.8822,70.6553,22.8518,132.4500,0.6661,64.8497,1.2161,133.7900,133.3544,131.0296,128.7630,132.2600,131.6400,61.7854,-2127971200.0000,129.9162
2019-06-17,-3068978987.2821,66.2226,60.0000,0.0000,14517800,132.2420,1.9949,64.2103,23.7811,132.8500,0.6230,65.8189,1.3719,133.7300,133.5868,130.8972,129.6410,132.6300,132.5300,59.2693,-2113453400.0000,130.4097
2019-06-18,-3045529229.7971,106.9666,100.0000,0.0000,25934500,132.8540,2.1849,63.4792,25.3888,135.1600,0.6504,69.7290,1.5345,135.2400,136.5591,129.1489,130.9320,134.1900,133.5700,69.3830,-2087518900.0000,131.0970
2019-06-19,-3027160920.3631,128.8390,100.0000,0.0000,23744400,133.6940,2.3735,71.0358,27.1639,135.6900,0.6712,71.6030,1.7023,135.9300,137.9958,129.3922,131.9370,135.0000,133.8100,84.4551,-2063774500.0000,131.8066
2019-06-20,-3018304140.9817,170.5853,100.0000,0.0000,33042600,134.6200,2.6897,82.4958,29.5118,136.9500,0.7899,76.4939,1.8998,137.6600,139.7652,129.4748,133.0380,137.4500,135.7200,93.6493,-2030731900.0000,132.8327
2019-06-21,-3025534042.5565,129.2924,100.0000,0.0000,36727900,135.5240,2.8373,89.1569,31.6540,136.9700,0.7500,71.6265,2.0873,137.7300,140.0608,130.9872,133.7770,136.5800,136.4600,89.3662,-1994004000.0000,133.5140
2019-06-24,-3023176465.4136,116.2150,100.0000,20.0000,20628800,136.5100,2.9541,89.9779,33.8715,137.7800,0.6935,72.5630,2.2607,138.4000,139.3602,133.6598,134.2370,137.0000,137.0000,86.9181,-1973375200.0000,134.1478
2019-06-25,-3046903379.8169,2.4778,90.0000,10.0000,33327400,136.1640,3.0320,79.3052,31.3334,133.4300,0.6171,73.1491,2.4149,137.5900,140.7292,131.5988,134.5740,137.2500,132.7300,61.6313,-2006702600.0000,134.7119
